"@timestamp","host.hostname","event.action","event.module","file.owner","file.path","file.size","file.type","process.args"
"Oct 26, 2022 @ 01:35:43.642",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/36.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.640",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/36.r4ns0mE.r4ns0mE","1,263",file,"-"
"Oct 26, 2022 @ 01:35:43.638",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/47.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.635",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/47.r4ns0mE.r4ns0mE","1,010",file,"-"
"Oct 26, 2022 @ 01:35:43.633",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/30.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.630",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/30.r4ns0mE.r4ns0mE","1,463",file,"-"
"Oct 26, 2022 @ 01:35:43.629",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/53.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.626",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/53.r4ns0mE.r4ns0mE","1,567",file,"-"
"Oct 26, 2022 @ 01:35:43.624",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/133.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.621",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/133.r4ns0mE.r4ns0mE","1,401",file,"-"
"Oct 26, 2022 @ 01:35:43.619",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/6.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.616",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/6.r4ns0mE.r4ns0mE","1,339",file,"-"
"Oct 26, 2022 @ 01:35:43.614",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/80.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.611",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/80.r4ns0mE.r4ns0mE","1,030",file,"-"
"Oct 26, 2022 @ 01:35:43.610",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/51.r4ns0mE","-","-","-"
