"@timestamp","event.type","event.module","event.action","file.path","file.owner","file.type","file.size"
"Oct 24, 2022 @ 16:57:14.557",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"2,570,240"
"Oct 24, 2022 @ 16:57:13.246",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"151,086"
"Oct 24, 2022 @ 16:57:12.665",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"1,689,600"
"Oct 24, 2022 @ 16:57:12.500",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"148,656"
"Oct 24, 2022 @ 16:57:10.545",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"30,720"
"Oct 24, 2022 @ 16:57:09.817",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,0
"Oct 24, 2022 @ 16:56:17.671",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"2,570,240"
"Oct 24, 2022 @ 16:56:17.346",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"143,856"
"Oct 24, 2022 @ 16:56:16.687",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"2,478,080"
"Oct 24, 2022 @ 16:56:15.531",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"141,516"
"Oct 24, 2022 @ 16:56:15.048",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"1,638,400"
"Oct 24, 2022 @ 16:56:14.699",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"140,766"
"Oct 24, 2022 @ 16:56:13.409",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"348,160"
"Oct 24, 2022 @ 16:56:12.655",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,0
"Oct 24, 2022 @ 16:55:10.736",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"136,326"
"Oct 24, 2022 @ 16:55:10.603",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"2,570,240"
"Oct 24, 2022 @ 16:55:10.448",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"136,116"
"Oct 24, 2022 @ 16:55:10.237",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"2,467,840"
"Oct 24, 2022 @ 16:55:10.082",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"135,606"
"Oct 24, 2022 @ 16:55:09.900",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"1,976,320"
"Oct 24, 2022 @ 16:55:09.683",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"133,596"
"Oct 24, 2022 @ 16:55:09.072",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"1,013,760"
"Oct 24, 2022 @ 16:55:08.972",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"131,076"
"Oct 24, 2022 @ 16:55:08.698",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,0
"Oct 24, 2022 @ 16:55:08.398",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"458,752"
"Oct 24, 2022 @ 16:54:13.651",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"128,796"
"Oct 24, 2022 @ 16:54:13.373",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"2,570,240"
"Oct 24, 2022 @ 16:54:13.064",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"128,646"
"Oct 24, 2022 @ 16:54:12.767",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"2,467,840"
"Oct 24, 2022 @ 16:54:12.376",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"127,626"
"Oct 24, 2022 @ 16:54:11.543",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"1,638,400"
"Oct 24, 2022 @ 16:54:10.094",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"125,196"
"Oct 24, 2022 @ 16:54:08.699",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"225,280"
"Oct 24, 2022 @ 16:54:08.306",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"1,409,024"
"Oct 24, 2022 @ 16:53:11.013",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"2,570,240"
"Oct 24, 2022 @ 16:53:10.037",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"121,266"
"Oct 24, 2022 @ 16:53:08.271",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"30,720"
"Oct 24, 2022 @ 16:53:07.982",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"1,769,472"
