"@timestamp",message,"process.name","user.effective.name","system.auth.sudo.user","system.auth.sudo.error","system.auth.sudo.command"
"Oct 24, 2022 @ 21:47:13.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 21:46:56.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 21:46:56.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 21:46:50.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 21:46:50.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 21:46:45.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 21:46:45.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 21:46:39.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 21:46:39.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 21:46:07.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 21:46:07.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 21:45:59.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 21:45:59.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 21:45:54.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 21:45:54.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 21:45:46.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 21:45:46.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
