"@timestamp","file.type","file.path","event.type","file.mode","file.owner","file.extension"
"Oct 25, 2022 @ 00:07:39.724",file,"/home/resch/.scripts/CVE-2021-3156/.git/objects/e8/6046680a88e7579021058ed4647b8f08fe486e",creation,0444,resch,"-"
"Oct 25, 2022 @ 00:07:39.538",file,"/home/resch/.scripts/CVE-2021-3156/.git/objects/e8/fc3cf37f0a65156dd9a381846472e3dd11f6da",creation,0444,resch,"-"
"Oct 25, 2022 @ 00:07:39.028",file,"/home/resch/.scripts/CVE-2021-3156/.git/objects/e0/7eaa8433f318698f92f7824044f9db428785a2",creation,0444,resch,"-"
"Oct 25, 2022 @ 00:07:38.693",file,"/home/resch/.scripts/CVE-2021-3156/.git/objects/52/0222f122e522c62c3d08ea4308c6b0ae18dd0b",creation,0444,resch,"-"
"Oct 25, 2022 @ 00:07:37.993",file,"/home/resch/.scripts/CVE-2021-3156/.git/objects/38/ff22cf6c19adb4963d827bfa37f4b547c2f471",creation,0444,resch,"-"
"Oct 25, 2022 @ 00:07:37.362",file,"/home/resch/.scripts/CVE-2021-3156/.git/objects/b2/4ab7468b2d8ae38f44b683d3a48565363085f2",creation,0444,resch,"-"
"Oct 25, 2022 @ 00:07:37.026",file,"/home/resch/.scripts/CVE-2021-3156/.git/objects/77/26dd3633a7125e3327727038dd64d641fdbf7b",creation,0444,resch,"-"
"Oct 25, 2022 @ 00:07:36.422",file,"/home/resch/.scripts/CVE-2021-3156/.git/objects/45/a56e0606bfc82a751964c0dd17eefc01a423fc",creation,0444,resch,"-"
"Oct 25, 2022 @ 00:07:35.755",file,"/home/resch/.scripts/CVE-2021-3156/.git/config",creation,0644,resch,"-"
"Oct 25, 2022 @ 00:07:35.490",file,"/home/resch/.scripts/CVE-2021-3156/.git/HEAD",creation,0644,resch,"-"
"Oct 25, 2022 @ 00:07:35.080",file,"/home/resch/.scripts/CVE-2021-3156/.git/refs/remotes/origin/HEAD",creation,0644,resch,"-"
"Oct 25, 2022 @ 00:07:34.688",file,"/home/resch/.scripts/CVE-2021-3156/.git/refs/heads/main",creation,0644,resch,"-"
"Oct 25, 2022 @ 00:07:33.865",file,"/home/resch/.scripts/CVE-2021-3156/.git/packed-refs",creation,0644,resch,"-"
"Oct 25, 2022 @ 00:07:33.739",file,"/home/resch/.scripts/CVE-2021-3156/.git/hooks/pre-rebase.sample",creation,0755,resch,sample
"Oct 25, 2022 @ 00:07:33.599",file,"/home/resch/.scripts/CVE-2021-3156/.git/hooks/pre-push.sample",creation,0755,resch,sample
"Oct 25, 2022 @ 00:07:33.387",file,"/home/resch/.scripts/CVE-2021-3156/.git/hooks/pre-applypatch.sample",creation,0755,resch,sample
"Oct 25, 2022 @ 00:07:33.178",file,"/home/resch/.scripts/CVE-2021-3156/.git/hooks/post-update.sample",creation,0755,resch,sample
"Oct 25, 2022 @ 00:07:33.025",file,"/home/resch/.scripts/CVE-2021-3156/.git/hooks/applypatch-msg.sample",creation,0755,resch,sample
"Oct 25, 2022 @ 00:07:32.660",file,"/home/resch/.scripts/CVE-2021-3156/.git/hooks/prepare-commit-msg.sample",creation,0755,resch,sample
"Oct 25, 2022 @ 00:07:32.573",file,"/home/resch/.scripts/CVE-2021-3156/.git/hooks/pre-receive.sample",creation,0755,resch,sample
"Oct 25, 2022 @ 00:07:32.347",file,"/home/resch/.scripts/CVE-2021-3156/.git/hooks/pre-commit.sample",creation,0755,resch,sample
"Oct 25, 2022 @ 00:07:32.146",file,"/home/resch/.scripts/CVE-2021-3156/.git/hooks/fsmonitor-watchman.sample",creation,0755,resch,sample
"Oct 25, 2022 @ 00:07:31.952",file,"/home/resch/.scripts/CVE-2021-3156/.git/hooks/commit-msg.sample",creation,0755,resch,sample
"Oct 25, 2022 @ 00:07:31.731",file,"/home/resch/.scripts/CVE-2021-3156/.git/hooks/update.sample",creation,0755,resch,sample
"Oct 25, 2022 @ 00:07:31.473",file,"/home/resch/.scripts/CVE-2021-3156/.git/description",creation,0644,resch,"-"
"Oct 25, 2022 @ 00:07:31.269",file,"/home/resch/.scripts/CVE-2021-3156/shellcode.c",creation,0644,resch,c
"Oct 25, 2022 @ 00:07:31.110",file,"/home/resch/.scripts/CVE-2021-3156/libnss_x/x.so.2",creation,0755,resch,2
"Oct 25, 2022 @ 00:07:30.515",file,"/home/resch/.scripts/CVE-2021-3156/exploit.c",creation,0644,resch,c
"Oct 25, 2022 @ 00:07:29.989",file,"/home/resch/.scripts/CVE-2021-3156/exploit",creation,0755,resch,"-"
"Oct 25, 2022 @ 00:07:29.875",file,"/home/resch/.scripts/CVE-2021-3156/README.md",creation,0644,resch,md
"Oct 25, 2022 @ 00:07:29.671",file,"/home/resch/.scripts/CVE-2021-3156/Makefile",creation,0644,resch,"-"
"Oct 25, 2022 @ 00:07:29.569",file,"/home/resch/.scripts/CVE-2021-3156/Dockerfile",creation,0644,resch,"-"
"Oct 25, 2022 @ 00:05:42.183",file,"/var/research/--checkpoint=1",creation,0644,resch,"-"
"Oct 25, 2022 @ 00:05:41.917",file,"/var/research/--checkpoint-action=exec=sh test.sh",creation,0644,resch,sh
"Oct 25, 2022 @ 00:05:41.621",file,"/var/research/test.sh",creation,0644,resch,sh
