@timestamp,error.message,event.module,event.type,file.ctime,file.extension,file.gid,file.owner,file.path,file.size,file.type,host.ip,
"Oct 25, 2022 @ 01:53:13.536",moved,change,-,-,-,-,/home/resch/destination/.unminimize.duRoiB,/home/resch/destination/.unminimize.duRoiB,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.534",created,creation,"Oct 25, 2022 @ 01:53:13.515",7,0,root,/home/resch/destination/pydoc2.7,/home/resch/destination/pydoc2.7,79,file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.532",moved,change,-,-,-,-,/home/resch/destination/.pydoc2.7.u4GLWA,/home/resch/destination/.pydoc2.7.u4GLWA,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.531","updated, attributes_modified",change,"Oct 25, 2022 @ 01:53:13.505",-,0,root,/home/resch/destination/ssh,/home/resch/destination/ssh,"727,848",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.529",moved,change,-,-,-,-,/home/resch/destination/.ssh.nWeGTw,/home/resch/destination/.ssh.nWeGTw,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.528",created,creation,-,-,-,-,/home/resch/destination/.ssh.nWeGTw,/home/resch/destination/.ssh.nWeGTw,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.526",attributes_modified,change,-,-,-,-,/home/resch/destination/.ssh.nWeGTw,/home/resch/destination/.ssh.nWeGTw,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.524",created,creation,-,-,-,-,/home/resch/destination/.ssh.nWeGTw,/home/resch/destination/.ssh.nWeGTw,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.522",created,creation,"Oct 25, 2022 @ 01:53:13.495",-,0,root,/home/resch/destination/ssh-keygen,/home/resch/destination/ssh-keygen,"420,000",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.520",moved,change,-,-,-,-,/home/resch/destination/.ssh-keygen.z8YQBx,/home/resch/destination/.ssh-keygen.z8YQBx,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.518",moved,change,-,-,-,-,/home/resch/destination/.py3clean.nVeVgx,/home/resch/destination/.py3clean.nVeVgx,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.518",created,creation,"Oct 25, 2022 @ 01:53:13.495",-,0,root,/home/resch/destination/py3clean,/home/resch/destination/py3clean,"7,812",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.513",created,creation,"Oct 25, 2022 @ 01:53:13.495",7,0,root,/home/resch/destination/python2.7,/home/resch/destination/python2.7,"3,633,000",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.511",moved,change,-,-,-,-,/home/resch/destination/.python2.7.yPYKyu,/home/resch/destination/.python2.7.yPYKyu,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.510",created,creation,-,-,-,-,/home/resch/destination/.python2.7.yPYKyu,/home/resch/destination/.python2.7.yPYKyu,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.508",attributes_modified,change,-,-,-,-,/home/resch/destination/.python2.7.yPYKyu,/home/resch/destination/.python2.7.yPYKyu,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.508",created,creation,-,-,-,-,/home/resch/destination/.python2.7.yPYKyu,/home/resch/destination/.python2.7.yPYKyu,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.503","updated, attributes_modified",change,"Oct 25, 2022 @ 01:53:13.485",yPYKyu,0,root,/home/resch/destination/.python2.7.yPYKyu,/home/resch/destination/.python2.7.yPYKyu,"3,633,000",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.499",attributes_modified,change,"Oct 25, 2022 @ 01:53:13.485",yPYKyu,0,root,/home/resch/destination/.python2.7.yPYKyu,/home/resch/destination/.python2.7.yPYKyu,"2,883,584",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.496",created,creation,"Oct 25, 2022 @ 01:53:13.485",yPYKyu,0,root,/home/resch/destination/.python2.7.yPYKyu,/home/resch/destination/.python2.7.yPYKyu,"2,097,152",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.494",created,creation,"Oct 25, 2022 @ 01:53:13.465",-,0,root,/home/resch/destination/pycompile,/home/resch/destination/pycompile,"11,895",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.492",moved,change,-,-,-,-,/home/resch/destination/.pycompile.7EZlhu,/home/resch/destination/.pycompile.7EZlhu,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.491",created,creation,"Oct 25, 2022 @ 01:53:13.465",-,0,root,/home/resch/destination/xzdiff,/home/resch/destination/xzdiff,"6,632",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.489",moved,change,-,-,-,-,/home/resch/destination/.xzdiff.YyeNcv,/home/resch/destination/.xzdiff.YyeNcv,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.487",created,creation,"Oct 25, 2022 @ 01:53:13.465",-,0,root,/home/resch/destination/ssh-copy-id,/home/resch/destination/ssh-copy-id,"10,658",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.485",moved,change,-,-,-,-,/home/resch/destination/.ssh-copy-id.UdVA0u,/home/resch/destination/.ssh-copy-id.UdVA0u,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.483",created,creation,"Oct 25, 2022 @ 01:53:13.455",-,0,root,/home/resch/destination/run-mailcap,/home/resch/destination/run-mailcap,"18,161",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.482",moved,change,-,-,-,-,/home/resch/destination/.run-mailcap.cLvDPv,/home/resch/destination/.run-mailcap.cLvDPv,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.480",created,creation,"Oct 25, 2022 @ 01:53:13.455",-,0,root,/home/resch/destination/ssh-import-id-lp,/home/resch/destination/ssh-import-id-lp,782,file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.478",moved,change,-,-,-,-,/home/resch/destination/.ssh-import-id-lp.58lQDv,/home/resch/destination/.ssh-import-id-lp.58lQDv,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.476",created,creation,"Oct 25, 2022 @ 01:53:13.455",-,0,root,/home/resch/destination/systemd-cgls,/home/resch/destination/systemd-cgls,"14,408",file,"172.17.0.3, 172.18.0.2",
